Jordan 2 Retro Infrared Cement,173,-34.4%,$194,385475-023,$160,2014-04-12,Black/Infrared 23-Pure Platinum-White,$54 - $156
Jordan 12 Retro University Blue (GS) (2016),32,13.6%,$177,510815-127,$140,2016-05-21,White/Metallic Gold-University Blue,$120 - $198
Jordan 13 Retro Low Bred,339,0.6%,$221,310810-027,$160,2015-06-13,Black/Metallic Gold-University Red-White,$93 - $229
Jordan 5 Retro Supreme Desert Camo,655,132.3%,$515,824371-201,$198,2015-10-16,Desert Camo/Fire Red-Black,$361 - $559
Jordan 1 Retro Mid Obsidian White,9,-18.2%,$84,554724-402,$110,2017-07-01,Obsidian/White-White,$70 - $110
Jordan 8 Retro Black Toes,33,10.0%,$233,317258-104,$150,2007-11-17,White/Anthracite-Dark Orange,$128 - $202
Jordan 5 Retro Olympic 2016 (GS),4,-28.6%,$140,440888-133,$140,2016-08-20,White/Black-Metallic Gold Coin,$62 - $138
Jordan 1 Retro High Camo 3M Wolf Grey,32,-37.9%,$122,AA3393-027,$145,2017-08-01,Wolf Grey/Dark Grey-White-University Red,$74 - $106
Jordan 18.5 OG White Black Chrome,10,5.7%,$224,306890-101,$175,2003-11-15,White/Black - Chrome,$135 - $235
Jordan 23 Trophy Room White,33,118.2%,$891,853336-123,$275,2016-05-23,White/Metallic Gold-Black-White,$306 - $894
Jordan 12 Retro Deep Royal Blue (GS),14,14.3%,$152,153265-400,$140,2016-11-12,Deep Royal Blue/White-Metallic Silver,$135 - $185
Jordan 1 Retro XQ (2013),4,385.7%,$845,555088-040,$140,2013-07-26,Black/Gold Dust-Sport Red-White,$561 - $799
Jordan 11 Retro Low White Red (2012),264,78.6%,$314,528895-101,$140,2012-05-05,White/Varsity Red-Black,$185 - $315
Jordan 10 Retro Shanghai,51,36.3%,$245,310805-024,$190,2016-06-18,Black/Fierce Purple-Gamma Blue,$213 - $305
Jordan Future Bred,19,--,$282,652141-601,Black/Gym,Red-White,--,$264 - $336
Jordan 11 Retro Heiress Night Maroon (GS),350,36.4%,$317,852625-650,$220,2016-12-17,Night Maroon/Metallic Gold-Night Maroon,$274 - $326
Jordan 13 Retro Low Hornets,223,25.0%,$223,310810-107,$160,2015-04-18,White/Metallic Silver-Midnight Navy-Turquoise Blue,$164 - $236
Jordan 1 Retro Black Royal Blue (2013),206,637.1%,$673,555088-085,$140,2013-02-16,Black/Royal Blue,"$797 - $1,267"
Jordan 13 Retro Barons Hologram,372,49.2%,$318,414571-115,$185,2014-10-25,White/Tropical Teal-Black-Wolf Grey,$234 - $318
Jordan 4 Retro Pure Money (2006),23,156.5%,$350,308497-102,$115,2006-05-20,White/Metallic-Silver,$192 - $398
Jordan 1 Retro Banned (2011),57,1249.6%,$1554,432001-001,$125,2011-06-02,Black/Varsity Red-White,"$1,285 - $2,089"
Jordan 1 Retro Premier Red Gucci (2013),35,-13.0%,$170,332134-631,$115,2013-12-02,Varsity Red/Dark Army-White,$58 - $142
Jordan 12 Retro Low Max Orange,563,-2.9%,$171,308317-003,$170,2017-01-14,Black/Max Orange-Anthracite-Metallic Silver,$140 - $190
Jordan 1 Retro Low White Neutral Grey,26,--,$146,705329-100,White/Neutral,Grey,--,$84 - $116
Jordan 1 Retro Bred (2013),385,147.9%,$438,555088-023,$140,2013-12-28,Black/Varsity Red-White,$303 - $391
Jordan 1 Retro High Strap Bred,4,35.5%,$212,342132-061,$110,2008-11-22,Black/Varsity Red-White,$107 - $191
Jordan XX9 Playoff Pack Home,14,-49.8%,$121,749143-104,$225,2015-04-15,White/White-Cool Blue-Photo Blue,$92 - $134
Jordan 13 Retro Black Cat (GS),14,-32.1%,$116,884129-011,$140,2017-01-21,Black/Anthracite-Black,$75 - $115
Jordan 6 Retro Slam Dunk,238,58.0%,$488,717302-600,$250,2014-11-01,Varsity Red/Varsity Red-White,$308 - $482
Jordan 2 Retro Decon Black,24,-38.1%,$113,897521-010,$160,2017-07-15,Black/Black,$80 - $118
Jordan 1.5 Retro Bred,436,22.7%,$190,768861-001,$150,2015-11-21,Black/Gym Red-White,$142 - $226
Jordan 6 Retro Black Varsity Red (2010),42,136.7%,$323,384664-003,$150,2010-06-19,/ 061 Black/Varsity Red,$313 - $397
Jordan 15 Retro PSNY Black Suede,14,22.2%,$257,921194-011,$225,2017-09-10,Black/Black-Sail-Black,$254 - $296
Jordan 3 Retro Infrared 23 (GS),4,--,$89,398614-123,White/Blackwlf,Grey-Infrrd,23,--,$47 - $105
Jordan XXX Gym Red,10,-35.0%,$122,811006-601,$200,2016-05-21,Gym Red/Gym Red-Black,$100 - $160
Jordan 4 Retro Tour Yellow / Rare Air,36,399.2%,$423,314254-171,$125,2006-05-20,White/Tour Yellow-Dark Blue-Grey-Black,$543 - $705
Jordan 2 Retro QF White Varsity Red (2010),82,--,$332,395709-101,White/Black-Varsity,Red,--,$127 - $271
Jordan 6 Retro Olympic Flag Beijing,40,83.3%,$300,325387-161,$150,2008-06-07,White/Varsity Red-Green Bean-New Blue,$185 - $365
Jordan 9 Retro Silver Anniversary,29,266.7%,$442,302370-104,$150,2010-03-10,White/Metallic Silver,$411 - $689
Jordan 11 OG Playoffs (1995),9,212.0%,$412,130245-062,$125,1995-01-01,Black/True Red-White,$276 - $504
Air Jordan 2012 Deluxe Year Of The Dragon,10,-46.2%,$134,484654-401,$223,2012-02-23,Storm Blue/White-Tidepool Blue,$97 - $143
Jordan 9 Retro Low Blue Pearl,8,182.6%,$301,303895-142,$115,2002-09-21,White/Blue Pearl,$272 - $378
Jordan 5 Retro Low Knicks,304,28.6%,$192,819171-417,$175,2016-03-28,Deep Royal Blue/Team Orange-Midnight Navy-Atomic Red,$203 - $247
Jordan 11 Retro Space Jam 2016 (PS),25,10.0%,$118,378039-003,$90,2016-12-10,Black/Dark Concord-White,$78 - $120
Jordan 1 Retro High Flyknit Bred,402,11.1%,$209,919704-001,$180,2017-09-09,Black/Varsity Red-White,$192 - $208
Jordan 1 Retro High Decon Sheen,38,--,$92,867338-620,$100,2017-04-16,Sheen/Vachetta Tan-White,$89 - $111
Jordan 9 Retro Anthracite,626,--,$205,302370-013,$190,2015-09-05,Anthracite/Black-White,$155 - $225
Jordan 12 Retro Wool (GS),7,56.7%,$179,852626-003,$150,2016-10-01,Dark Grey/Metallic Silver-Black,$188 - $282
Air Jordan Force Taxi 12,2,-10.7%,$125,317742-101,$140,2008-01-05,White/Black-Taxi,$113 - $138
Jordan 18 Retro Bred CDP (2008),12,25.8%,$208,332548,$155,2008-08-23,061 Black/Varsity Red,$150 - $240
Jordan 1 Retro High Heiress Pure Platinum (GS),5,-46.4%,$86,832596-100,$140,2017-05-20,White/White-Pure Platinum,$55 - $95
Jordan Spiz'ike Toro Bravo,47,-14.3%,$211,315371-601,$175,2012-10-20,Gym Red/Black-Dark Grey,$114 - $186
Jordan 2 Retro Low Chicago (2016),476,3.1%,$98,832819-101,$160,2016-05-21,White/Black-Varsity Red,$141 - $189
Jordan 6 Retro Low University Blue,11,114.3%,$225,304401-141,$105,2002-04-27,White/University Blue,$183 - $267
Jordan 1 Retro Mid Black Team Red,11,-50.0%,$96,554724-009,$110,2016-11-01,Black/Team Red-Team Red-White,$28 - $82
Jordan 3 Retro Black Cement CDP (2008),50,125.8%,$473,340254-061,$155,2008-10-18,Black/Cement Grey,$262 - $438
Jordan 1 Retro Hare Jordan (2015),310,8.0%,$164,719551-123,$125,2015-04-04,White/True Red-Light Silver-Black,$105 - $165
Jordan 12 Retro Hornets (GS),7,28.6%,$173,510815-418,$140,2016-10-08,Blue Cap/Metallic Silver-Dark Purple Dust,$156 - $204
Jordan 1 Retro Hare Jordan (2009),20,172.7%,$241,374454-011,$110,2009-04-11,Light Silver/White-True Red,$228 - $372
Jordan Future Low Cool Grey,9,20.7%,$156,718948-004,$145,2015-08-24,Grey Mist/White-Cool Grey,$165 - $185
Jordan 13 Retro Wolf Grey Deadly Pink (GS),16,-28.6%,$109,439358-018,$140,2017-08-26,Wolf Grey/White-Deadly Pink-White,$70 - $130
